index,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Meaning of Type of operation or tax status code,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
358,Georgia,81,Other services (except public administration),Establishments exempt from federal income tax,"2,146","4,305,164","753,197","190,989","17,313",N,N
359,Hawaii,21,"Mining, quarrying, and oil and gas extraction",Total,7,D,D,N,c,18,"1,495"
360,Hawaii,22,Utilities,Total,54,Q,"289,114","74,192","3,379",131,"7,688"
361,Hawaii,23,Construction,Total,"2,386","7,996,598","1,571,857","357,611","27,672","7,262","457,014"
362,Hawaii,31-33,Manufacturing,Total,796,D,"465,024",N,"11,440","2,163","88,861"
363,Hawaii,42,Wholesale trade,Wholesale Trade,"1,751","13,466,008","844,540","205,694","18,761","2,624","185,155"
364,Hawaii,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","1,561","9,607,982","724,517","175,328","16,686",N,N
365,Hawaii,42,Wholesale trade,Manufacturers' sales branches and offices,87,"2,956,851","100,234","25,520","1,598",N,N
366,Hawaii,44-45,Retail trade,Total,"4,643","18,901,745","1,835,021","451,327","68,360","9,512","429,651"
367,Hawaii,48-49 (104),Transportation and warehousing (104),Total,847,"4,598,722","1,150,385","285,709","26,839","2,834","97,001"
368,Hawaii,51,Information,Total,543,N,"494,741","134,033","8,329","1,165","42,521"
369,Hawaii,52,Finance and insurance,Total,"1,401",N,"1,144,625","312,536","18,686","2,850","266,900"
370,Hawaii,53,Real estate and rental and leasing,Total,"1,919","3,411,219","483,931","122,724","11,369","11,106","939,232"
371,Hawaii,54,"Professional, scientific, and technical services",All establishments,"3,226","3,334,059","1,265,631","291,884","21,629","14,299","601,694"
372,Hawaii,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"3,188","3,229,357","1,225,011","281,750","20,998",N,N
373,Hawaii,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,38,"104,702","40,620","10,134",631,N,N
374,Hawaii,55,Management of companies and enterprises,Total,248,D,D,D,i,N,N
375,Hawaii,56,Administrative and support and waste management and remediation services,Total,"1,799","2,893,771","1,355,113","321,056","47,307","8,145","221,473"
376,Hawaii,61,Educational services,All establishments,347,"158,389","51,088","12,024","2,410","2,430","43,593"
377,Hawaii,61,Educational services,Establishments subject to federal income tax,274,"121,724","37,201","8,534","1,877",N,N
378,Hawaii,61,Educational services,Establishments exempt from federal income tax,73,"36,665","13,887","3,490",533,N,N
379,Hawaii,62,Health care and social assistance,All establishments,"3,559","8,136,947","3,290,592","768,600","66,772","7,601","354,250"
380,Hawaii,62,Health care and social assistance,Establishments subject to federal income tax,"2,794","3,180,444","1,347,195","301,741","26,788",N,N
381,Hawaii,62,Health care and social assistance,Establishments exempt from federal income tax,765,"4,956,503","1,943,397","466,859","39,984",N,N
382,Hawaii,71,"Arts, entertainment, and recreation",All establishments,495,"843,628","249,168","59,946","10,623","6,044","167,285"
383,Hawaii,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,398,"571,145","168,184","40,003","7,327",N,N
384,Hawaii,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,97,"272,483","80,984","19,943","3,296",N,N
385,Hawaii,72,Accommodation and food services,Total,"3,518","9,536,706","2,535,950","636,018","98,364","1,729","122,142"
386,Hawaii,81,Other services (except public administration),All establishments,"2,808","2,004,775","538,698","130,308","19,348","15,204","438,780"
387,Hawaii,81,Other services (except public administration),Establishments subject to federal income tax,"1,519","877,528","278,979","67,508","11,014",N,N
388,Hawaii,81,Other services (except public administration),Establishments exempt from federal income tax,"1,289","1,127,247","259,719","62,800","8,334",N,N
389,Idaho,21,"Mining, quarrying, and oil and gas extraction",Total,109,"1,198,031","202,908",N,"3,162",202,"11,581"
390,Idaho,22,Utilities,Total,204,Q,"287,206","79,265","3,709",141,"9,710"
391,Idaho,23,Construction,Total,"5,171","6,576,778","1,117,834","222,181","32,060","13,022","655,767"
392,Idaho,31-33,Manufacturing,Total,"1,759","20,201,432","2,445,472",N,"52,084","2,674","88,709"
393,Idaho,42,Wholesale trade,Wholesale Trade,"2,012","24,396,882","1,232,511","301,307","26,221","1,900","117,153"
394,Idaho,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","1,739","17,906,012","960,790","231,834","21,470",N,N
395,Idaho,42,Wholesale trade,Manufacturers' sales branches and offices,127,"3,863,360","222,909","58,136","3,448",N,N
396,Idaho,44-45,Retail trade,Total,"5,815","20,444,278","1,794,040","429,735","72,980","12,339","411,242"
397,Idaho,48-49 (104),Transportation and warehousing (104),Total,"1,736","2,389,813","587,866","140,147","17,195","4,662","371,564"
398,Idaho,51,Information,Total,654,N,"556,784","140,888","12,264","1,430","39,594"
399,Idaho,52,Finance and insurance,Total,"2,793",N,"1,035,066","265,862","21,698","3,704","202,688"
400,Idaho,53,Real estate and rental and leasing,Total,"2,033","1,039,935","184,215","41,697","6,268","14,761","1,151,841"
401,Idaho,54,"Professional, scientific, and technical services",All establishments,"4,198","4,273,614","1,727,988","399,238","32,076","14,404","475,816"
402,Idaho,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"4,177",D,D,D,k,N,N
403,Idaho,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,21,D,D,D,h,N,N
404,Idaho,55,Management of companies and enterprises,Total,249,D,D,D,i,N,N
405,Idaho,56,Administrative and support and waste management and remediation services,Total,"2,185","1,881,058","851,017","193,632","33,714","7,503","136,480"
406,Idaho,61,Educational services,All establishments,293,"96,149","32,271","8,153","1,763","2,790","32,199"
407,Idaho,61,Educational services,Establishments subject to federal income tax,237,"76,526","25,535","6,228","1,360",N,N
408,Idaho,61,Educational services,Establishments exempt from federal income tax,56,"19,623","6,736","1,925",403,N,N
409,Idaho,62,Health care and social assistance,All establishments,"4,865","7,895,614","3,171,233","762,359","83,505","9,110","285,042"
410,Idaho,62,Health care and social assistance,Establishments subject to federal income tax,"4,271","4,281,140","1,636,414","379,822","49,613",N,N
411,Idaho,62,Health care and social assistance,Establishments exempt from federal income tax,594,"3,614,474","1,534,819","382,537","33,892",N,N
412,Idaho,71,"Arts, entertainment, and recreation",All establishments,712,"454,552","137,646","30,463","8,944","5,125","91,485"
413,Idaho,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,573,"355,943","102,618","23,186","6,755",N,N
414,Idaho,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,139,"98,609","35,028","7,277","2,189",N,N
415,Idaho,72,Accommodation and food services,Total,"3,564","2,680,225","726,110","172,448","54,257","1,492","50,449"
416,Idaho,81,Other services (except public administration),All establishments,"2,553","1,118,199","311,385","74,526","12,188","16,795","398,434"
417,Idaho,81,Other services (except public administration),Establishments subject to federal income tax,"2,055","849,838","240,906","57,615","9,826",N,N
418,Idaho,81,Other services (except public administration),Establishments exempt from federal income tax,498,"268,361","70,479","16,911","2,362",N,N
419,Illinois,21,"Mining, quarrying, and oil and gas extraction",Total,483,"3,964,466","616,421",N,"9,906","2,311","132,849"
420,Illinois,22,Utilities,Total,492,Q,"3,044,699","882,437","29,968",532,"21,387"
421,Illinois,23,Construction,Total,"25,051","54,285,513","11,448,609","2,391,392","204,850","90,342","4,369,757"
422,Illinois,31-33,Manufacturing,Total,"13,868","281,037,755","28,413,716",N,"542,004","10,978","493,021"
423,Illinois,42,Wholesale trade,Wholesale Trade,"19,302","549,200,270","20,595,508","5,207,736","314,389","14,932","1,206,095"
424,Illinois,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","16,036","295,456,992","15,973,321","3,947,605","255,531",N,N
425,Illinois,42,Wholesale trade,Manufacturers' sales branches and offices,945,"228,255,529","3,899,929","1,095,381","45,683",N,N
426,Illinois,44-45,Retail trade,Total,"39,947","166,634,514","14,576,069","3,578,156","592,942","69,426","2,498,596"
427,Illinois,48-49 (104),Transportation and warehousing (104),Total,"13,251","39,888,464","10,022,845","2,482,175","230,695","64,795","3,828,191"
428,Illinois,51,Information,Total,"5,404",N,"8,941,865","2,369,886","124,859","11,918","371,694"
429,Illinois,52,Finance and insurance,Total,"22,230",N,"28,200,719","9,028,360","296,035","32,019","2,292,290"
430,Illinois,53,Real estate and rental and leasing,Total,"12,035","23,649,143","3,816,125","950,810","76,794","85,785","8,479,711"
431,Illinois,54,"Professional, scientific, and technical services",All establishments,"38,673","70,263,152","28,314,943","6,773,481","364,336","125,155","5,202,766"
432,Illinois,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"38,540","68,675,212","27,645,341","6,606,366","355,434",N,N
433,Illinois,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,133,"1,587,940","669,602","167,115","8,902",N,N
434,Illinois,55,Management of companies and enterprises,Total,"2,345","4,987,834","20,634,948","6,322,084","198,455",N,N
435,Illinois,56,Administrative and support and waste management and remediation services,Total,"16,849","31,783,654","14,062,412","3,342,399","459,740","75,089","1,473,992"
436,Illinois,61,Educational services,All establishments,"2,927","2,122,469","671,718","166,361","29,233","26,206","314,412"
437,Illinois,61,Educational services,Establishments subject to federal income tax,"2,425","1,561,910","491,695","122,578","23,070",N,N
438,Illinois,61,Educational services,Establishments exempt from federal income tax,502,"560,559","180,023","43,783","6,163",N,N
439,Illinois,62,Health care and social assistance,All establishments,"33,055","83,431,778","32,574,004","7,856,721","770,484","95,168","2,529,741"
440,Illinois,62,Health care and social assistance,Establishments subject to federal income tax,"27,624","39,270,333","16,150,834","3,769,181","383,980",N,N
441,Illinois,62,Health care and social assistance,Establishments exempt from federal income tax,"5,431","44,161,445","16,423,170","4,087,540","386,504",N,N
442,Illinois,71,"Arts, entertainment, and recreation",All establishments,"4,520","7,400,518","2,348,162","516,676","77,153","47,446","956,485"
443,Illinois,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"3,564","5,591,893","1,678,294","363,790","49,286",N,N
444,Illinois,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,956,"1,808,625","669,868","152,886","27,867",N,N
445,Illinois,72,Accommodation and food services,Total,"27,117","27,937,381","7,707,082","1,829,415","469,870","12,620","463,076"
446,Illinois,81,Other services (except public administration),All establishments,"23,334","21,355,529","5,826,640","1,448,775","165,366","151,423","3,381,453"
447,Illinois,81,Other services (except public administration),Establishments subject to federal income tax,"18,681","10,571,706","3,334,081","815,846","117,388",N,N
448,Illinois,81,Other services (except public administration),Establishments exempt from federal income tax,"4,653","10,783,823","2,492,559","632,929","47,978",N,N
449,Indiana,21,"Mining, quarrying, and oil and gas extraction",Total,275,"2,522,241","395,760",N,"6,111",858,"40,646"
450,Indiana,22,Utilities,Total,538,Q,"1,293,728","395,402","15,558",303,"8,856"
451,Indiana,23,Construction,Total,"12,200","27,329,545","6,178,493","1,325,405","123,907","45,761","2,308,032"
452,Indiana,31-33,Manufacturing,Total,"8,141","242,763,842","23,041,338",N,"452,513","6,995","321,759"
453,Indiana,42,Wholesale trade,Wholesale Trade,"7,823","127,023,866","5,791,375","1,441,762","110,761","6,450","482,621"
454,Indiana,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","6,460","81,173,422","4,650,491","1,154,693","91,474",N,N
455,Indiana,42,Wholesale trade,Manufacturers' sales branches and offices,476,"35,145,082","914,421","235,606","13,556",N,N
456,Indiana,44-45,Retail trade,Total,"21,601","85,857,962","7,078,665","1,744,772","309,552","38,936","1,393,737"
457,Indiana,48-49 (104),Transportation and warehousing (104),Total,"5,096","16,994,928","4,438,413","1,063,996","118,242","20,553","1,345,753"
458,Indiana,51,Information,Total,"2,183",N,"2,298,691","585,286","42,361","4,700","117,097"
459,Indiana,52,Finance and insurance,Total,"9,692",N,"5,866,484","1,641,332","96,927","11,853","657,013"
460,Indiana,53,Real estate and rental and leasing,Total,"5,729","6,547,858","1,171,652","295,450","31,715","40,699","3,513,581"
461,Indiana,54,"Professional, scientific, and technical services",All establishments,"12,829","14,702,048","5,490,583","1,328,548","99,962","43,583","1,420,670"
462,Indiana,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"12,780","14,627,492","5,453,321","1,319,528","99,322",N,N
463,Indiana,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,49,"74,556","37,262","9,020",640,N,N
464,Indiana,55,Management of companies and enterprises,Total,932,"1,244,226","5,372,107","1,714,494","55,515",N,N
465,Indiana,56,Administrative and support and waste management and remediation services,Total,"7,106","10,411,317","4,903,744","1,132,033","178,946","33,065","559,277"
466,Indiana,61,Educational services,All establishments,"1,127","691,881","216,447","53,327","9,664","10,177","112,906"
467,Indiana,61,Educational services,Establishments subject to federal income tax,866,"503,946","166,522","40,728","7,171",N,N
468,Indiana,61,Educational services,Establishments exempt from federal income tax,261,"187,935","49,925","12,599","2,493",N,N
469,Indiana,62,Health care and social assistance,All establishments,"15,156","42,493,117","16,208,687","3,882,489","396,923","28,718","754,821"
470,Indiana,62,Health care and social assistance,Establishments subject to federal income tax,"12,360","21,191,428","8,625,935","2,029,636","206,531",N,N
471,Indiana,62,Health care and social assistance,Establishments exempt from federal income tax,"2,796","21,301,689","7,582,752","1,852,853","190,392",N,N
472,Indiana,71,"Arts, entertainment, and recreation",All establishments,"2,069","3,651,926","940,782","220,186","33,726","18,948","317,915"
473,Indiana,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"1,559","3,152,725","761,248","179,075","23,917",N,N
474,Indiana,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,510,"499,201","179,534","41,111","9,809",N,N
475,Indiana,72,Accommodation and food services,Total,"13,057","13,076,602","3,432,706","836,126","255,223","4,659","168,748"
476,Indiana,81,Other services (except public administration),All establishments,"10,777","8,909,718","2,106,661","513,991","72,937","67,415","1,439,389"
477,Indiana,81,Other services (except public administration),Establishments subject to federal income tax,"8,429","5,020,762","1,548,537","380,217","54,735",N,N
478,Indiana,81,Other services (except public administration),Establishments exempt from federal income tax,"2,348","3,888,956","558,124","133,774","18,202",N,N
479,Iowa,21,"Mining, quarrying, and oil and gas extraction",Total,181,"593,763","105,906",N,"2,185",47,"4,080"
480,Iowa,22,Utilities,Total,272,Q,"570,315","149,620","7,656",212,"16,193"
481,Iowa,23,Construction,Total,"7,709","15,619,846","2,945,587","589,133","66,013","26,045","1,478,199"
482,Iowa,31-33,Manufacturing,Total,"3,598","116,668,830","10,021,180",N,"203,722","3,053","115,141"
483,Iowa,42,Wholesale trade,Wholesale Trade,"4,992","76,727,611","3,263,066","772,383","67,124","3,201","254,076"
484,Iowa,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","4,302","62,318,301","2,841,770","672,521","58,872",N,N
485,Iowa,42,Wholesale trade,Manufacturers' sales branches and offices,284,"8,545,307","315,410","74,889","5,558",N,N
486,Iowa,44-45,Retail trade,Total,"12,046","44,905,624","3,865,340","934,040","174,556","22,911","734,880"
487,Iowa,48-49 (104),Transportation and warehousing (104),Total,"3,499","7,641,208","2,110,520","505,840","55,762","10,203","937,769"
488,Iowa,51,Information,Total,"1,545",N,"1,400,464","358,436","30,342","2,246","57,623"
489,Iowa,52,Finance and insurance,Total,"6,071",N,"5,780,472","1,684,264","91,750","7,878","499,797"
490,Iowa,53,Real estate and rental and leasing,Total,"2,742","2,268,333","425,852","101,312","12,031","21,242","1,842,971"
491,Iowa,54,"Professional, scientific, and technical services",All establishments,"6,204","6,420,586","2,466,774","589,787","48,521","19,915","610,525"
492,Iowa,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"6,169","6,396,940","2,454,900","586,896","48,261",N,N
493,Iowa,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,35,"23,646","11,874","2,891",260,N,N
494,Iowa,55,Management of companies and enterprises,Total,534,"891,347","1,192,496","303,240","15,142",N,N
495,Iowa,56,Administrative and support and waste management and remediation services,Total,"3,560","4,077,528","2,048,885","476,124","73,721","14,144","243,416"
496,Iowa,61,Educational services,All establishments,451,"478,593","147,864","35,394","4,935","4,092","44,472"
497,Iowa,61,Educational services,Establishments subject to federal income tax,363,"133,674","43,585","9,780","2,769",N,N
498,Iowa,61,Educational services,Establishments exempt from federal income tax,88,"344,919","104,279","25,614","2,166",N,N
499,Iowa,62,Health care and social assistance,All establishments,"8,131","18,583,828","7,894,442","1,890,211","206,906","21,161","446,873"
500,Iowa,62,Health care and social assistance,Establishments subject to federal income tax,"5,582","7,151,221","3,356,825","756,444","78,961",N,N
501,Iowa,62,Health care and social assistance,Establishments exempt from federal income tax,"2,549","11,432,607","4,537,617","1,133,767","127,945",N,N
502,Iowa,71,"Arts, entertainment, and recreation",All establishments,"1,466","1,625,985","363,745","83,919","21,233","9,227","153,998"
503,Iowa,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,993,"1,305,549","255,506","59,873","13,165",N,N
504,Iowa,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,473,"320,436","108,239","24,046","8,068",N,N
505,Iowa,72,Accommodation and food services,Total,"7,047","5,468,687","1,466,587","348,886","115,134","2,623","106,861"
506,Iowa,81,Other services (except public administration),All establishments,"5,866","3,343,224","847,726","205,191","30,672","30,501","722,565"
507,Iowa,81,Other services (except public administration),Establishments subject to federal income tax,"4,687","2,103,574","598,876","143,269","23,537",N,N
508,Iowa,81,Other services (except public administration),Establishments exempt from federal income tax,"1,179","1,239,650","248,850","61,922","7,135",N,N
509,Kansas,21,"Mining, quarrying, and oil and gas extraction",Total,870,"7,191,104","616,593",N,"10,566","6,248","414,584"
510,Kansas,22,Utilities,Total,230,Q,"607,926","168,068","7,263",146,"6,827"
511,Kansas,23,Construction,Total,"6,076","13,654,410","2,675,571","585,872","58,819","20,097","1,051,393"
512,Kansas,31-33,Manufacturing,Total,"2,875","86,076,260","7,578,276",N,"152,423","2,891","123,918"
513,Kansas,42,Wholesale trade,Wholesale Trade,"4,565","103,967,873","3,700,643","928,278","65,118","3,100","245,195"
514,Kansas,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","3,790","60,226,324","3,055,385","763,850","52,168",N,N
515,Kansas,42,Wholesale trade,Manufacturers' sales branches and offices,269,"37,773,717","518,717","135,273","9,942",N,N
516,Kansas,44-45,Retail trade,Total,"10,548","38,276,461","3,325,005","823,250","145,480","19,940","755,157"
517,Kansas,48-49 (104),Transportation and warehousing (104),Total,"2,510","6,560,969","1,968,257","507,732","50,019","6,964","608,865"
518,Kansas,51,Information,Total,"1,406",N,"2,026,163","588,555","34,052","2,228","65,901"
519,Kansas,52,Finance and insurance,Total,"5,976",N,"3,716,984","994,714","59,099","7,713","452,800"
520,Kansas,53,Real estate and rental and leasing,Total,"2,999","2,743,054","507,551","122,230","14,256","18,851","1,712,324"
521,Kansas,54,"Professional, scientific, and technical services",All establishments,"7,110","8,716,125","3,596,156","888,575","60,989","22,784","787,006"
522,Kansas,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"7,071","8,562,621","3,577,103","883,830","60,615",N,N
523,Kansas,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,39,"153,504","19,053","4,745",374,N,N
524,Kansas,55,Management of companies and enterprises,Total,620,"1,257,327","1,836,567","463,881","20,038",N,N
525,Kansas,56,Administrative and support and waste management and remediation services,Total,"3,442","4,466,496","2,105,596","495,100","70,236","14,444","286,975"
526,Kansas,61,Educational services,All establishments,475,"450,269","123,404","29,936","3,998","4,353","52,806"
527,Kansas,61,Educational services,Establishments subject to federal income tax,402,"318,518","99,162","24,112","3,330",N,N
528,Kansas,61,Educational services,Establishments exempt from federal income tax,73,"131,751","24,242","5,824",668,N,N
529,Kansas,62,Health care and social assistance,All establishments,"7,934","18,248,370","7,504,615","1,801,852","192,272","15,973","450,104"
530,Kansas,62,Health care and social assistance,Establishments subject to federal income tax,"5,977","9,677,833","3,955,395","929,631","93,121",N,N
531,Kansas,62,Health care and social assistance,Establishments exempt from federal income tax,"1,957","8,570,537","3,549,220","872,221","99,151",N,N
532,Kansas,71,"Arts, entertainment, and recreation",All establishments,"1,000","884,432","251,588","58,765","14,341","9,021","135,390"
533,Kansas,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,668,"615,661","170,225","40,578","9,807",N,N
534,Kansas,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,332,"268,771","81,363","18,187","4,534",N,N
535,Kansas,72,Accommodation and food services,Total,"5,943","4,873,411","1,342,931","329,663","106,850","2,536","98,200"
536,Kansas,81,Other services (except public administration),All establishments,"5,147","3,432,989","849,195","205,949","29,521","27,770","674,459"
537,Kansas,81,Other services (except public administration),Establishments subject to federal income tax,"3,957","1,920,430","559,994","133,342","21,148",N,N
538,Kansas,81,Other services (except public administration),Establishments exempt from federal income tax,"1,190","1,512,559","289,201","72,607","8,373",N,N
539,Kentucky,21,"Mining, quarrying, and oil and gas extraction",Total,536,"8,200,549","1,330,200",N,"19,931","1,868","106,439"
540,Kentucky,22,Utilities,Total,340,Q,"699,968","187,681","8,685",174,"7,985"
541,Kentucky,23,Construction,Total,"6,680","13,500,602","2,758,442","606,114","64,026","39,481","1,904,651"
542,Kentucky,31-33,Manufacturing,Total,"3,782","129,284,438","10,140,093",N,"213,545","3,860","182,310"
543,Kentucky,42,Wholesale trade,Wholesale Trade,"4,324","100,076,812","3,679,171","924,545","67,581","4,309","344,333"
544,Kentucky,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","3,690","71,745,899","3,090,290","771,432","57,630",N,N
545,Kentucky,42,Wholesale trade,Manufacturers' sales branches and offices,251,"23,642,165","488,038","129,125","7,596",N,N
546,Kentucky,44-45,Retail trade,Total,"15,224","54,869,978","4,619,173","1,138,815","202,615","27,705","1,278,178"
547,Kentucky,48-49 (104),Transportation and warehousing (104),Total,"2,910","12,816,316","3,858,796","957,926","84,757","12,840","934,471"
548,Kentucky,51,Information,Total,"1,552",N,"1,393,239","368,522","33,009","2,727","80,896"
549,Kentucky,52,Finance and insurance,Total,"6,346",N,"3,838,354","1,126,636","67,888","7,348","412,379"
550,Kentucky,53,Real estate and rental and leasing,Total,"3,534","4,845,505","637,348","169,695","18,250","26,500","2,191,923"
551,Kentucky,54,"Professional, scientific, and technical services",All establishments,"8,101","7,782,465","2,816,706","681,164","62,851","28,207","1,019,618"
552,Kentucky,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"8,064","7,746,750","2,799,275","676,787","62,431",N,N
553,Kentucky,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,37,"35,715","17,431","4,377",420,N,N
554,Kentucky,55,Management of companies and enterprises,Total,708,"1,000,913","2,646,913","719,070","31,465",N,N
555,Kentucky,56,Administrative and support and waste management and remediation services,Total,"3,925","5,226,699","2,369,792","551,525","93,839","28,190","471,921"
556,Kentucky,61,Educational services,All establishments,569,"244,197","86,419","20,705","4,024","5,706","64,319"
557,Kentucky,61,Educational services,Establishments subject to federal income tax,454,"184,239","65,605","15,490","3,251",N,N
558,Kentucky,61,Educational services,Establishments exempt from federal income tax,115,"59,958","20,814","5,215",773,N,N
559,Kentucky,62,Health care and social assistance,All establishments,"11,425","26,264,745","10,184,137","2,491,458","251,878","17,987","543,992"
560,Kentucky,62,Health care and social assistance,Establishments subject to federal income tax,"9,449","11,985,232","5,178,232","1,231,951","127,446",N,N
561,Kentucky,62,Health care and social assistance,Establishments exempt from federal income tax,"1,976","14,279,513","5,005,905","1,259,507","124,432",N,N
562,Kentucky,71,"Arts, entertainment, and recreation",All establishments,"1,242","1,206,777","349,389","77,472","17,360","11,970","240,299"
563,Kentucky,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,931,"862,327","237,627","53,098","11,322",N,N
564,Kentucky,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,311,"344,450","111,762","24,374","6,038",N,N
565,Kentucky,72,Accommodation and food services,Total,"7,678","7,500,115","2,083,517","499,800","156,965","3,160","132,414"
566,Kentucky,81,Other services (except public administration),All establishments,"5,849","4,071,426","1,089,953","264,182","38,364","48,405","1,125,716"
567,Kentucky,81,Other services (except public administration),Establishments subject to federal income tax,"4,793","2,830,653","850,207","206,819","31,452",N,N
568,Kentucky,81,Other services (except public administration),Establishments exempt from federal income tax,"1,056","1,240,773","239,746","57,363","6,912",N,N
569,Louisiana,21,"Mining, quarrying, and oil and gas extraction",Total,"1,520","27,261,762","3,649,311",N,"56,003","6,373","517,414"
570,Louisiana,22,Utilities,Total,517,Q,"884,069","275,440","11,132",233,"7,640"
571,Louisiana,23,Construction,Total,"7,320","26,231,623","7,318,858","1,714,047","136,437","37,774","2,129,709"
572,Louisiana,31-33,Manufacturing,Total,"3,308","271,191,050","8,489,308",N,"136,327","4,413","194,808"
573,Louisiana,42,Wholesale trade,Wholesale Trade,"5,610","86,300,969","4,008,334","975,073","76,773","4,451","372,916"
574,Louisiana,42,Wholesale trade,"Merchant wholesalers, except manufacturers' sales branches and offices","4,823","68,012,838","3,260,170","786,623","64,259",N,N
575,Louisiana,42,Wholesale trade,Manufacturers' sales branches and offices,445,"14,843,508","660,761","170,109","10,371",N,N
576,Louisiana,44-45,Retail trade,Total,"16,743","61,396,364","5,334,620","1,300,827","220,257","24,929","1,055,796"
577,Louisiana,48-49 (104),Transportation and warehousing (104),Total,"3,764","15,109,762","3,778,984","943,244","70,059","15,250","1,030,194"
578,Louisiana,51,Information,Total,"1,426",N,"1,273,636","331,163","24,743","3,071","96,275"
579,Louisiana,52,Finance and insurance,Total,"7,716",N,"3,642,903","961,238","64,813","9,928","676,721"
580,Louisiana,53,Real estate and rental and leasing,Total,"4,500","7,486,430","1,461,417","347,979","31,298","31,735","2,725,455"
581,Louisiana,54,"Professional, scientific, and technical services",All establishments,"11,728","13,546,170","5,022,913","1,145,582","88,093","38,071","1,794,815"
582,Louisiana,54,"Professional, scientific, and technical services",Establishments subject to federal income tax,"11,669","13,417,439","4,986,517","1,136,773","87,367",N,N
583,Louisiana,54,"Professional, scientific, and technical services",Establishments exempt from federal income tax,59,"128,731","36,396","8,809",726,N,N
584,Louisiana,55,Management of companies and enterprises,Total,638,"1,072,347","2,202,284","709,052","25,019",N,N
585,Louisiana,56,Administrative and support and waste management and remediation services,Total,"4,576","6,743,533","2,971,933","704,034","103,246","37,476","655,019"
586,Louisiana,61,Educational services,All establishments,673,"423,345","140,729","37,442","6,248","6,405","83,018"
587,Louisiana,61,Educational services,Establishments subject to federal income tax,552,"355,433","114,499","30,914","4,972",N,N
588,Louisiana,61,Educational services,Establishments exempt from federal income tax,121,"67,912","26,230","6,528","1,276",N,N
589,Louisiana,62,Health care and social assistance,All establishments,"11,999","27,951,792","10,646,864","2,582,731","284,979","30,116","962,306"
590,Louisiana,62,Health care and social assistance,Establishments subject to federal income tax,"10,240","15,869,857","6,156,935","1,422,625","167,792",N,N
591,Louisiana,62,Health care and social assistance,Establishments exempt from federal income tax,"1,759","12,081,935","4,489,929","1,160,106","117,187",N,N
592,Louisiana,71,"Arts, entertainment, and recreation",All establishments,"1,376","2,661,106","719,787","173,291","23,386","14,377","335,148"
593,Louisiana,71,"Arts, entertainment, and recreation",Establishments subject to federal income tax,"1,085","2,224,688","606,354","146,427","18,036",N,N
594,Louisiana,71,"Arts, entertainment, and recreation",Establishments exempt from federal income tax,291,"436,418","113,433","26,864","5,350",N,N
595,Louisiana,72,Accommodation and food services,Total,"9,019","11,697,949","3,110,743","765,684","193,928","7,404","340,058"
596,Louisiana,81,Other services (except public administration),All establishments,"6,293","5,408,889","1,479,224","357,938","43,500","64,493","1,464,234"
597,Louisiana,81,Other services (except public administration),Establishments subject to federal income tax,"5,092","3,915,978","1,216,458","292,759","36,098",N,N
598,Louisiana,81,Other services (except public administration),Establishments exempt from federal income tax,"1,201","1,492,911","262,766","65,179","7,402",N,N
