,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
172,0 to 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1297,unknown/no savings account,1 to 4 yrs,20 to 25,female : single,none,7 yrs or more,unknown/no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,1
173,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,1552,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,32,bank,rent,1,skilled employee/official,3 or more,no,no,1
174,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,1963,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,31,none,for free,2-3,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,1
175,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,3235,100 to 500 DM,7 yrs or more,20 to 25,male : divorced/separated,none,1 to 4 yrs,building soc. savings agr./life insurance,36,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
176,200 DM or more,24,all credits at this bank paid back duly,retraining,4139,less than 100 DM,1 to 4 yrs,20 to 25,male : married/widowed,none,4 to 7 yrs,car or other,27,none,rent,2-3,unskilled-resident,0 to 2,yes (under customer name),no,1
177,less than 0 DM,12,all credits at this bank paid back duly,car (new),1804,less than 100 DM,less than 1 year,20 to 25,male : married/widowed,none,7 yrs or more,car or other,44,none,rent,1,skilled employee/official,0 to 2,no,no,1
178,200 DM or more,18,no credits taken/all credits paid back duly,retraining,1950,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,34,stores,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
179,200 DM or more,48,existing credits paid back duly till now,furniture/equipment,12749,100 to 500 DM,4 to 7 yrs,less than 20,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,37,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
180,200 DM or more,9,no credits taken/all credits paid back duly,radio/television,1236,unknown/no savings account,less than 1 year,35 or more,female : non-single or male : single,none,7 yrs or more,unknown/no property,23,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
181,200 DM or more,18,all credits at this bank paid back duly,others,1055,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,less than 1 year,car or other,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
182,no checking account,30,delay in paying off in the past,retraining,8072,1000 DM or more,less than 1 year,25 to 35,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,25,bank,rent,4-5,skilled employee/official,0 to 2,no,no,1
183,200 DM or more,30,all credits at this bank paid back duly,furniture/equipment,2831,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
184,200 DM or more,9,no credits taken/all credits paid back duly,retraining,1449,unknown/no savings account,4 to 7 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
185,200 DM or more,36,no credits taken/all credits paid back duly,retraining,5742,less than 100 DM,4 to 7 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,31,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
186,200 DM or more,12,no credits taken/all credits paid back duly,others,2390,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,50,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
187,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,3430,100 to 500 DM,7 yrs or more,20 to 25,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,1
188,less than 0 DM,36,no credits taken/all credits paid back duly,repairs,2273,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,less than 1 year,building soc. savings agr./life insurance,32,none,rent,2-3,skilled employee/official,3 or more,no,no,1
189,0 to 200 DM,21,no credits taken/all credits paid back duly,others,2923,less than 100 DM,1 to 4 yrs,35 or more,female : non-single or male : single,none,less than 1 year,building soc. savings agr./life insurance,28,bank,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
190,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,1901,less than 100 DM,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,29,none,for free,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
191,less than 0 DM,36,no credits taken/all credits paid back duly,repairs,3711,1000 DM or more,1 to 4 yrs,25 to 35,female : single,none,1 to 4 yrs,building soc. savings agr./life insurance,27,none,rent,1,skilled employee/official,0 to 2,no,no,1
192,less than 0 DM,48,no credits taken/all credits paid back duly,others,8487,1000 DM or more,4 to 7 yrs,35 or more,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,1
193,200 DM or more,24,no credits taken/all credits paid back duly,others,2255,1000 DM or more,less than 1 year,less than 20,male : married/widowed,none,less than 1 year,car or other,54,none,rent,1,skilled employee/official,0 to 2,no,no,1
194,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,1262,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,25,none,rent,1,skilled employee/official,0 to 2,no,no,1
195,200 DM or more,33,all credits at this bank paid back duly,car (new),7253,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
196,200 DM or more,6,all credits at this bank paid back duly,others,6761,unknown/no savings account,4 to 7 yrs,35 or more,male : married/widowed,none,4 to 7 yrs,real estate,45,none,rent,2-3,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,1
197,200 DM or more,18,all credits at this bank paid back duly,car (used),1817,unknown/no savings account,1 to 4 yrs,less than 20,female : non-single or male : single,none,1 to 4 yrs,real estate,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
198,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,2141,less than 100 DM,4 to 7 yrs,20 to 25,male : married/widowed,none,less than 1 year,real estate,35,none,rent,1,skilled employee/official,0 to 2,no,no,1
199,200 DM or more,48,critical account/other credits elsewhere,retraining,3609,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,less than 1 year,unknown/no property,27,stores,rent,1,skilled employee/official,0 to 2,no,no,1
200,200 DM or more,30,no credits taken/all credits paid back duly,furniture/equipment,2333,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,30,bank,rent,1,manager/self-employed/highly qualified employee,0 to 2,no,no,1
201,200 DM or more,28,critical account/other credits elsewhere,car (new),7824,1000 DM or more,less than 1 year,20 to 25,male : married/widowed,guarantor,7 yrs or more,unknown/no property,40,bank,for free,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
202,0 to 200 DM,18,critical account/other credits elsewhere,furniture/equipment,1445,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,49,bank,rent,1,unskilled-resident,0 to 2,no,no,1
203,no checking account,24,no credits taken/all credits paid back duly,car (used),7721,1000 DM or more,less than 1 year,35 or more,female : non-single or male : single,none,1 to 4 yrs,car or other,30,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),yes,1
204,no checking account,21,no credits taken/all credits paid back duly,others,3763,1000 DM or more,4 to 7 yrs,25 to 35,male : married/widowed,co-applicant,1 to 4 yrs,unknown/no property,24,none,rent,1,unskilled-resident,0 to 2,no,yes,1
205,less than 0 DM,18,no credits taken/all credits paid back duly,retraining,4439,unknown/no savings account,7 yrs or more,35 or more,male : married/widowed,co-applicant,less than 1 year,unknown/no property,33,bank,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
206,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,1107,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,20,none,for free,1,manager/self-employed/highly qualified employee,3 or more,yes (under customer name),no,1
207,less than 0 DM,15,no credits taken/all credits paid back duly,furniture/equipment,1444,1000 DM or more,less than 1 year,less than 20,male : married/widowed,none,less than 1 year,car or other,23,none,rent,1,skilled employee/official,0 to 2,no,no,1
208,less than 0 DM,48,critical account/other credits elsewhere,others,12169,1000 DM or more,unemployed,less than 20,male : married/widowed,co-applicant,7 yrs or more,real estate,36,none,own,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
209,200 DM or more,9,no credits taken/all credits paid back duly,furniture/equipment,2753,less than 100 DM,7 yrs or more,20 to 25,male : married/widowed,co-applicant,7 yrs or more,building soc. savings agr./life insurance,35,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
210,0 to 200 DM,4,no credits taken/all credits paid back duly,others,1494,1000 DM or more,less than 1 year,35 or more,male : married/widowed,none,1 to 4 yrs,unknown/no property,29,none,rent,1,unskilled-resident,3 or more,no,yes,1
211,no checking account,24,critical account/other credits elsewhere,car (used),2828,100 to 500 DM,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,22,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
212,no checking account,24,critical account/other credits elsewhere,car (used),2483,100 to 500 DM,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,22,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
213,0 to 200 DM,6,all credits at this bank paid back duly,others,1299,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,none,less than 1 year,unknown/no property,74,none,rent,4-5,unemployed/unskilled - non-resident,3 or more,no,yes,1
214,less than 0 DM,9,no credits taken/all credits paid back duly,others,1549,1000 DM or more,less than 1 year,less than 20,male : married/widowed,none,1 to 4 yrs,unknown/no property,35,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,1
215,0 to 200 DM,10,no credits taken/all credits paid back duly,others,3949,unknown/no savings account,less than 1 year,35 or more,male : married/widowed,guarantor,less than 1 year,car or other,37,none,rent,1,unskilled-resident,3 or more,no,no,1
216,200 DM or more,10,no credits taken/all credits paid back duly,car (new),2901,1000 DM or more,less than 1 year,35 or more,female : non-single or male : single,none,7 yrs or more,unknown/no property,31,none,for free,1,skilled employee/official,0 to 2,no,no,1
217,0 to 200 DM,6,no credits taken/all credits paid back duly,others,709,500 to 1000 DM,less than 1 year,25 to 35,female : single,none,1 to 4 yrs,unknown/no property,27,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,yes,1
218,no checking account,47,no credits taken/all credits paid back duly,others,10722,unknown/no savings account,less than 1 year,35 or more,female : non-single or male : single,none,less than 1 year,unknown/no property,35,none,rent,1,unskilled-resident,0 to 2,yes (under customer name),no,1
219,200 DM or more,10,no credits taken/all credits paid back duly,others,1287,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,co-applicant,1 to 4 yrs,car or other,45,none,rent,1,unskilled-resident,0 to 2,no,yes,1
220,no checking account,18,critical account/other credits elsewhere,furniture/equipment,1940,unknown/no savings account,less than 1 year,20 to 25,male : married/widowed,co-applicant,7 yrs or more,real estate,36,bank,own,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
221,0 to 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3656,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,car or other,49,stores,rent,2-3,unskilled-resident,0 to 2,no,no,1
222,200 DM or more,24,existing credits paid back duly till now,car (new),4679,unknown/no savings account,4 to 7 yrs,20 to 25,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,unskilled-resident,0 to 2,yes (under customer name),no,1
223,200 DM or more,27,existing credits paid back duly till now,car (new),8613,500 to 1000 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
224,no checking account,18,no credits taken/all credits paid back duly,car (used),2659,500 to 1000 DM,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,1
225,200 DM or more,24,all credits at this bank paid back duly,furniture/equipment,1516,500 to 1000 DM,1 to 4 yrs,less than 20,female : non-single or male : single,none,less than 1 year,unknown/no property,43,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
226,no checking account,18,no credits taken/all credits paid back duly,others,4380,less than 100 DM,1 to 4 yrs,20 to 25,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,35,none,rent,1,unskilled-resident,3 or more,yes (under customer name),no,1
227,200 DM or more,14,existing credits paid back duly till now,others,802,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,27,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
228,200 DM or more,21,no credits taken/all credits paid back duly,retraining,1572,500 to 1000 DM,7 yrs or more,less than 20,female : non-single or male : single,none,7 yrs or more,unknown/no property,36,bank,rent,1,unskilled-resident,0 to 2,no,no,1
229,less than 0 DM,48,critical account/other credits elsewhere,retraining,3566,less than 100 DM,4 to 7 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,1
230,200 DM or more,24,no credits taken/all credits paid back duly,furniture/equipment,1278,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,less than 1 year,unknown/no property,36,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
231,200 DM or more,6,delay in paying off in the past,furniture/equipment,426,unknown/no savings account,7 yrs or more,less than 20,female : single,none,7 yrs or more,building soc. savings agr./life insurance,39,none,rent,1,unskilled-resident,0 to 2,no,no,1
232,200 DM or more,39,no credits taken/all credits paid back duly,car (new),8588,less than 100 DM,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,45,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
233,no checking account,30,no credits taken/all credits paid back duly,car (new),3857,unknown/no savings account,1 to 4 yrs,less than 20,male : divorced/separated,none,7 yrs or more,car or other,40,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
234,less than 0 DM,12,no credits taken/all credits paid back duly,others,685,unknown/no savings account,4 to 7 yrs,25 to 35,female : single,none,4 to 7 yrs,building soc. savings agr./life insurance,25,bank,rent,1,unskilled-resident,0 to 2,no,no,0
235,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1603,unknown/no savings account,7 yrs or more,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,55,none,rent,1,skilled employee/official,0 to 2,no,no,1
236,200 DM or more,21,no credits taken/all credits paid back duly,car (used),2241,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,unknown/no property,50,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
237,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,2384,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,64,bank,for free,1,unskilled-resident,0 to 2,no,no,1
238,200 DM or more,4,no credits taken/all credits paid back duly,car (used),601,unknown/no savings account,less than 1 year,35 or more,female : non-single or male : single,none,4 to 7 yrs,unknown/no property,23,none,for free,1,unskilled-resident,3 or more,no,no,1
239,200 DM or more,39,no credits taken/all credits paid back duly,car (new),2569,100 to 500 DM,1 to 4 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,1
240,200 DM or more,15,all credits at this bank paid back duly,furniture/equipment,1316,100 to 500 DM,1 to 4 yrs,25 to 35,female : single,none,1 to 4 yrs,car or other,47,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
241,200 DM or more,60,no credits taken/all credits paid back duly,others,10366,unknown/no savings account,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,car or other,42,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
242,200 DM or more,18,no credits taken/all credits paid back duly,retraining,1568,less than 100 DM,1 to 4 yrs,20 to 25,female : non-single or male : single,none,7 yrs or more,car or other,24,none,for free,1,unskilled-resident,0 to 2,no,no,1
243,200 DM or more,18,all credits at this bank paid back duly,furniture/equipment,629,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,4 to 7 yrs,car or other,32,bank,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
244,200 DM or more,6,critical account/other credits elsewhere,furniture/equipment,1750,100 to 500 DM,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,car or other,45,bank,rent,1,unskilled-resident,3 or more,no,no,1
245,200 DM or more,24,no credits taken/all credits paid back duly,car (new),3488,less than 100 DM,4 to 7 yrs,20 to 25,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,1
246,200 DM or more,18,all credits at this bank paid back duly,furniture/equipment,1800,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
247,200 DM or more,24,existing credits paid back duly till now,car (used),4151,less than 100 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,car or other,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
248,less than 0 DM,15,no credits taken/all credits paid back duly,domestic appliances,2631,less than 100 DM,1 to 4 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,25,none,rent,1,unskilled-resident,0 to 2,no,no,1
249,200 DM or more,21,no credits taken/all credits paid back duly,car (new),5248,1000 DM or more,1 to 4 yrs,35 or more,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
250,less than 0 DM,18,existing credits paid back duly till now,others,2899,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,3 or more,no,no,1
251,less than 0 DM,18,existing credits paid back duly till now,domestic appliances,6204,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,7 yrs or more,unknown/no property,44,none,rent,1,unskilled-resident,3 or more,yes (under customer name),no,1
252,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,804,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,38,none,rent,1,skilled employee/official,0 to 2,no,no,1
253,200 DM or more,36,no credits taken/all credits paid back duly,furniture/equipment,3595,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,1
254,200 DM or more,36,all credits at this bank paid back duly,car (new),5711,500 to 1000 DM,7 yrs or more,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
255,0 to 200 DM,15,no credits taken/all credits paid back duly,retraining,2687,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,7 yrs or more,car or other,26,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,1
256,no checking account,15,existing credits paid back duly till now,car (used),3643,unknown/no savings account,7 yrs or more,35 or more,female : non-single or male : single,none,7 yrs or more,car or other,27,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
257,200 DM or more,10,all credits at this bank paid back duly,car (used),2146,unknown/no savings account,less than 1 year,35 or more,female : non-single or male : single,none,4 to 7 yrs,unknown/no property,23,none,for free,2-3,skilled employee/official,0 to 2,no,no,1
258,no checking account,10,no credits taken/all credits paid back duly,furniture/equipment,2315,unknown/no savings account,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,unknown/no property,52,none,rent,1,unskilled-resident,0 to 2,no,no,1
259,200 DM or more,5,no credits taken/all credits paid back duly,retraining,3448,unknown/no savings account,4 to 7 yrs,35 or more,male : married/widowed,none,7 yrs or more,unknown/no property,74,none,rent,1,unskilled-resident,0 to 2,no,no,1
260,200 DM or more,15,no credits taken/all credits paid back duly,car (used),2708,unknown/no savings account,less than 1 year,25 to 35,male : married/widowed,none,4 to 7 yrs,car or other,27,bank,rent,2-3,unskilled-resident,0 to 2,no,no,1
261,200 DM or more,11,all credits at this bank paid back duly,others,1393,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,35,none,rent,2-3,manager/self-employed/highly qualified employee,0 to 2,no,no,1
262,0 to 200 DM,10,no credits taken/all credits paid back duly,car (used),1275,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,1 to 4 yrs,car or other,23,none,rent,1,skilled employee/official,0 to 2,no,no,1
263,200 DM or more,9,no credits taken/all credits paid back duly,car (used),1313,unknown/no savings account,7 yrs or more,35 or more,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,no,no,1
264,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,1493,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,4 to 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,3 or more,no,no,1
265,200 DM or more,22,no credits taken/all credits paid back duly,furniture/equipment,2675,100 to 500 DM,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,40,none,rent,1,skilled employee/official,0 to 2,no,no,1
266,less than 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,2118,unknown/no savings account,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,unknown/no property,37,none,rent,1,unskilled-resident,3 or more,no,no,1
267,200 DM or more,36,no credits taken/all credits paid back duly,others,909,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,car or other,36,none,rent,1,skilled employee/official,0 to 2,no,no,1
268,200 DM or more,12,all credits at this bank paid back duly,car (used),1258,unknown/no savings account,less than 1 year,25 to 35,female : non-single or male : single,none,7 yrs or more,car or other,22,none,for free,2-3,unskilled-resident,0 to 2,no,no,1
269,200 DM or more,15,critical account/other credits elsewhere,furniture/equipment,1569,less than 100 DM,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,34,bank,rent,1,unskilled-resident,3 or more,no,no,1
270,200 DM or more,6,no credits taken/all credits paid back duly,car (new),1236,100 to 500 DM,1 to 4 yrs,25 to 35,male : married/widowed,none,7 yrs or more,car or other,50,none,for free,1,skilled employee/official,0 to 2,no,no,1
271,200 DM or more,36,existing credits paid back duly till now,car (used),7678,100 to 500 DM,4 to 7 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,40,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
272,200 DM or more,6,no credits taken/all credits paid back duly,domestic appliances,660,100 to 500 DM,4 to 7 yrs,25 to 35,female : single,none,7 yrs or more,unknown/no property,23,none,for free,1,unskilled-resident,0 to 2,no,no,1
273,200 DM or more,24,no credits taken/all credits paid back duly,car (used),2835,100 to 500 DM,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,1
274,200 DM or more,24,no credits taken/all credits paid back duly,car (new),2670,unknown/no savings account,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,35,none,rent,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
275,200 DM or more,12,critical account/other credits elsewhere,vacation,3447,100 to 500 DM,1 to 4 yrs,less than 20,female : non-single or male : single,none,4 to 7 yrs,unknown/no property,35,none,rent,1,unskilled-resident,3 or more,no,no,1
276,200 DM or more,15,no credits taken/all credits paid back duly,furniture/equipment,3568,unknown/no savings account,7 yrs or more,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,54,bank,for free,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
277,less than 0 DM,21,all credits at this bank paid back duly,retraining,3652,unknown/no savings account,4 to 7 yrs,25 to 35,male : married/widowed,none,4 to 7 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
278,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,3660,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,28,none,rent,1,skilled employee/official,0 to 2,no,no,1
279,0 to 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1126,less than 100 DM,7 yrs or more,25 to 35,male : divorced/separated,none,7 yrs or more,unknown/no property,49,none,rent,1,skilled employee/official,0 to 2,no,no,1
280,0 to 200 DM,6,existing credits paid back duly till now,furniture/equipment,683,unknown/no savings account,less than 1 year,25 to 35,female : non-single or male : single,none,less than 1 year,car or other,29,bank,rent,1,skilled employee/official,0 to 2,no,no,1
281,0 to 200 DM,12,no credits taken/all credits paid back duly,car (used),2251,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,46,none,rent,1,unskilled-resident,0 to 2,no,no,1
282,200 DM or more,12,no credits taken/all credits paid back duly,car (new),4675,1000 DM or more,less than 1 year,35 or more,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,1
283,less than 0 DM,21,existing credits paid back duly till now,others,2353,unknown/no savings account,1 to 4 yrs,35 or more,male : divorced/separated,none,7 yrs or more,car or other,47,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
284,no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,3357,500 to 1000 DM,less than 1 year,less than 20,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,1
285,200 DM or more,6,no credits taken/all credits paid back duly,others,672,unknown/no savings account,unemployed,35 or more,female : non-single or male : single,none,7 yrs or more,unknown/no property,54,none,rent,1,unemployed/unskilled - non-resident,0 to 2,yes (under customer name),no,1
286,no checking account,6,all credits at this bank paid back duly,furniture/equipment,338,100 to 500 DM,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,52,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
287,200 DM or more,9,no credits taken/all credits paid back duly,furniture/equipment,2697,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,unknown/no property,32,none,rent,1,skilled employee/official,3 or more,no,no,1
288,200 DM or more,9,no credits taken/all credits paid back duly,others,2507,100 to 500 DM,7 yrs or more,25 to 35,male : married/widowed,none,7 yrs or more,real estate,51,none,own,1,unskilled-resident,0 to 2,no,no,1
289,200 DM or more,15,existing credits paid back duly till now,furniture/equipment,1478,unknown/no savings account,1 to 4 yrs,less than 20,female : single,none,4 to 7 yrs,unknown/no property,33,bank,rent,2-3,skilled employee/official,0 to 2,no,no,1
